Player,Pos,Min,Squad,Total_Passes_Completed,KP,Passes_into_one-third,xA,Prog,Tkl+Int,TotDist,Clr,SCA,GCA,Sh/90,PrgDist,Succ_Dibb,CrsPA
Paul Pogba,"FW,MF","1,897",Manchester Utd,1112,24,113,2.1,111,62,5456,47,68,7,1.47,2984,45,3
Ruben Loftus-Cheek,"FW,MF","1,909",Fulham,595,15,62,1.4,71,55,4556,15,53,0,1.74,2666,47,2
Isaac Hayden,"DF,MF","1,942",Newcastle Utd,629,5,48,0.4,41,96,2019,57,17,0,0.6,758,10,1
Harvey Barnes,"FW,MF","1,945",Leicester City,468,25,37,1.5,62,38,5071,13,68,8,2.54,3579,28,2
Joelinton,"FW,MF","1,983",Newcastle Utd,436,17,17,2.1,26,64,2852,21,52,8,2.04,1427,39,2
Kevin De Bruyne,MF,"1,997",Manchester City,1068,79,128,10.2,173,53,6538,7,142,19,3.56,4210,40,9
Jorginho,MF,"2,010",Chelsea,1558,24,140,2.1,115,110,5388,21,51,3,0.27,2889,18,1
?lkay Gündo?an,MF,"2,029",Manchester City,1553,42,140,4.5,118,44,7023,14,82,10,2.31,3676,29,2
John Lundstram,MF,"2,032",Sheffield Utd,843,19,59,1.2,59,47,4479,34,37,3,0.84,1780,16,2
Allan,MF,"2,051",Everton,899,16,91,0.9,82,98,4950,30,38,2,0.31,2935,28,1
Bernardo Silva,"FW,MF","2,065",Manchester City,1280,32,81,3.7,72,53,8659,9,80,10,1.22,5004,41,0
Pascal Struijk,"DF,MF","2,075",Leeds United,1097,5,48,0.2,47,97,5118,102,12,2,0.61,2946,4,0
Ethan Ampadu,"DF,MF","2,089",Sheffield Utd,857,10,69,0.9,84,101,4578,120,15,0,0.3,2737,9,2
Tanguy Ndombele,MF,"2,091",Tottenham,994,16,91,2.4,101,79,5253,19,57,8,0.77,2900,70,0
Jordan Ayew,"FW,MF","2,096",Crystal Palace,514,12,12,0.7,36,81,4327,12,33,7,1.07,2270,45,2
James Maddison,"FW,MF","2,099",Leicester City,863,52,86,5.3,101,48,4836,6,105,11,3.17,2436,32,5
Scott McTominay,MF,"2,129",Manchester Utd,1109,14,109,0.9,104,99,5805,54,33,3,1.1,3281,22,1
N'Golo Kanté,MF,"2,146",Chelsea,1302,21,99,1.1,101,149,5484,32,47,1,0.42,2999,29,1
Wilfred Ndidi,"DF,MF","2,176",Leicester City,1201,15,80,1.5,57,170,4866,77,33,8,0.66,1798,11,0
Jack Grealish,"FW,MF","2,185",Aston Villa,864,83,84,8.6,168,40,8981,6,150,21,2.02,5758,61,4
Oliver Norwood,MF,"2,220",Sheffield Utd,1180,31,131,1.7,106,97,3121,61,45,1,0.45,1391,4,10
Harrison Reed,MF,"2,247",Fulham,1262,22,86,1.4,97,120,4553,58,40,3,0.52,2070,15,4
Gylfi Sigurðsson,MF,"2,253",Everton,749,45,52,5,62,66,2587,21,67,6,1.8,1065,15,5
Andros Townsend,"FW,MF","2,258",Crystal Palace,587,39,42,3.7,75,117,6131,12,66,7,1.43,3344,44,20
Luka Milivojevi?,MF,"2,359",Crystal Palace,1029,20,104,1.3,108,111,4169,50,39,3,0.65,1969,14,2
Raphael Dias Belloli,MF,"2,360",Leeds United,704,66,81,8.1,135,69,4827,33,109,14,2.59,3115,61,9
Bobby Reid,"DF,MF","2,372",Fulham,612,15,38,1.4,60,49,3563,41,33,5,1.29,1799,28,6
Fred,MF,"2,390",Manchester Utd,1555,24,174,2.5,149,135,6574,33,67,5,0.94,3168,24,0
Mateusz Klich,MF,"2,393",Leeds United,1185,46,105,3.9,140,69,5996,23,97,13,1.28,2941,13,6
David McGoldrick,"FW,MF","2,397",Sheffield Utd,699,15,48,1.3,68,42,3876,29,52,1,2.7,1613,46,3
Kalvin Phillips,MF,"2,428",Leeds United,1210,34,139,3.8,104,123,5237,59,58,1,0.56,2279,17,3
Miguel Almirón,"FW,MF","2,429",Newcastle Utd,711,28,56,2.8,65,75,6129,24,63,4,1.22,3272,36,7
Abdoulaye Doucouré,MF,"2,443",Everton,1146,18,69,2.2,65,91,4877,29,41,5,0.66,2436,17,1
Ivan Cavaleiro,"FW,MF","2,472",Fulham,600,44,19,3.4,50,46,5008,22,72,1,1.67,2465,52,11
Pascal Groß,"DF,MF","2,484",Brighton,1260,67,81,5.5,129,69,5810,24,110,9,1.01,2610,11,17
Leander Dendoncker,"DF,MF","2,503",Wolves,1021,16,64,0.7,62,76,3806,75,43,6,1.15,1886,11,2
Neal Maupay,"FW,MF","2,512",Brighton,508,31,32,3.6,41,36,3462,9,79,8,2.4,1544,24,4
Granit Xhaka,"DF,MF","2,522",Arsenal,1945,18,268,1.6,213,83,8754,55,40,3,0.75,4786,10,1
João Moutinho,MF,"2,528",Wolves,1540,47,117,2.6,123,109,5857,31,91,4,0.53,3114,10,6
Conor Gallagher,MF,"2,531",West Brom,742,18,76,1.6,54,121,4633,30,41,3,1.03,1940,38,2
Pedro Neto,"FW,MF","2,550",Wolves,955,60,34,6.2,53,50,8277,11,111,9,2.15,5061,74,24
Bukayo Saka,"FW,MF","2,553",Arsenal,865,38,55,4.7,64,61,5662,32,98,12,2.15,3487,42,8
Eberechi Eze,MF,"2,559",Crystal Palace,918,39,77,2.8,111,67,7617,6,83,12,1.3,3974,69,3
Jarrod Bowen,"FW,MF","2,562",West Ham,499,28,22,4.6,37,45,5477,5,78,11,1.93,2363,40,9
Fabinho,"DF,MF","2,567",Liverpool,1867,3,110,0.4,102,121,7484,106,23,4,0.35,4215,5,1
Pablo Fornals,"FW,MF","2,572",West Ham,852,30,72,2.5,108,77,5023,9,71,12,1.75,2622,21,5
John Fleck,MF,"2,575",Sheffield Utd,946,34,113,2.7,103,85,4232,18,66,3,0.59,2679,36,4
Chris Basham,"DF,MF","2,576",Sheffield Utd,900,10,54,0.8,62,121,4896,124,22,1,0.35,3206,19,7
Matheus Pereira,"FW,MF","2,577",West Brom,765,57,64,5.4,95,62,5171,18,103,12,2.13,2798,39,9
Andre-Frank Zambo Anguissa,MF,"2,587",Fulham,1197,27,134,2.2,114,142,7767,34,57,6,1.18,4026,87,5
Leandro Trossard,"FW,MF","2,607",Brighton,813,46,79,4.3,124,51,6423,5,100,11,2,3212,42,15
Jonjo Shelvey,MF,"2,617",Newcastle Utd,1047,38,132,2.7,110,91,4791,67,66,8,1.44,2117,23,5
Rúben Neves,MF,"2,675",Wolves,1633,32,203,2.1,140,136,6069,54,62,2,2.15,3060,12,2
Ademola Lookman,"FW,MF","2,747",Fulham,880,60,46,5.2,105,63,6743,13,115,11,2.23,3891,83,5
Rodri,MF,"2,748",Manchester City,2495,27,239,1.7,156,123,9800,73,73,8,1.02,4860,29,1
Stuart Armstrong,MF,"2,764",Southampton,1002,34,90,2.7,116,100,7421,21,82,15,1.76,4290,56,5
Douglas Luiz,MF,"2,781",Aston Villa,1213,19,127,1.5,106,96,6000,49,46,5,0.84,3334,24,3
Josh Brownhill,MF,"2,813",Burnley,938,19,66,1.1,66,104,3067,56,46,1,1.15,1315,14,2
Jack Harrison,MF,"2,847",Leeds United,788,58,37,7.1,111,92,6432,26,104,15,1.49,3767,46,20
Declan Rice,MF,"2,879",West Ham,1298,19,113,2.1,94,145,8223,46,49,3,0.75,4320,33,9
Mason Mount,"FW,MF","2,890",Chelsea,1548,90,144,7.8,182,111,8910,15,163,14,2.55,4946,50,7
Georginio Wijnaldum,MF,"2,941",Liverpool,1630,22,140,1.7,93,55,8574,24,53,2,0.95,4054,34,1
Dwight McNeil,MF,"3,069",Burnley,920,50,74,6.5,77,81,8017,27,80,9,0.76,3476,66,24
Bruno Fernandes,MF,"3,099",Manchester Utd,1702,94,177,11,227,82,7427,27,168,27,3.19,4259,26,8
Yves Bissouma,MF,"3,111",Brighton,1461,15,123,1,114,174,8941,67,52,2,1.22,4093,50,2
Ben White,"DF,MF","3,191",Brighton,1470,8,111,0.7,116,101,7068,78,26,3,0.28,3793,24,2
John McGinn,MF,"3,330",Aston Villa,1080,40,179,3,179,119,5367,30,100,12,1.24,2905,56,6
Youri Tielemans,MF,"3,357",Leicester City,2011,48,212,3.3,206,113,7481,29,109,16,1.26,4300,40,4
Stuart Dallas,"DF,MF","3,409",Leeds United,1813,27,141,2.1,182,138,9379,55,74,6,1.27,4940,22,9
Ashley Westwood,MF,"3,410",Burnley,1567,49,181,5,202,73,5347,49,84,5,0.5,2449,12,12
Tomáš Sou?ek,MF,"3,419",West Ham,1184,16,102,1.5,103,138,4799,145,45,5,1.68,2040,16,2
James Ward-Prowse,MF,"3,420",Southampton,2117,57,155,4.1,155,128,6986,76,84,11,1.03,3475,15,1
Pierre Højbjerg,MF,"3,420",Tottenham,2389,17,235,1.9,193,168,9170,82,52,8,0.37,4334,25,4
